kelly_1.0x,kelly_0.5x,kelly_0.25x,kelly_0.1x
1000.0,1000.0,1000.0,1000.0
2193.16734,1596.58367,1298.291835,1119.316734
1868.3906165691967,1478.3680638379715,1250.227220807329,1102.741253656134
1710.2108930295242,1415.7880418784384,1223.7658649223092,1093.405341503063
1410.31939852152,1291.6563358075673,1170.1179528935593,1074.2320943144937
1281.3133089749172,1232.5805218127684,1143.3594147976282,1064.405775404164
1982.904345196142,1570.0340702413546,1299.8727966111126,1122.687972716475
1656.3863822500018,1440.7680449756388,1246.3614133380354,1104.2010602860494
3115.2680350096352,2075.254686867168,1520.798256412731,1201.4548583775816
2873.6484074384634,1994.7764970419025,1491.310046714894,1192.1363961405475
2376.7762955737967,1822.3217165235874,1426.8457954134678,1171.5235985816043
2094.391931604031,1714.0668589193776,1384.4649723663945,1157.604747788742
1832.5484626220318,1606.9194798558053,1341.1930916861095,1143.1322300953182
1554.340621476147,1484.9424602832105,1290.2898765449547,1125.7777995650576
1361.8985247176815,1393.0174868654838,1250.3523483999465,1111.83960369994
4709.2065973565,3104.914002825978,2018.6391248155483,1385.1103073095094
3990.130595762514,2867.8603611681046,1941.5797029933897,1363.9602566384294
3303.924401670867,2621.258966001565,1858.1034867054063,1340.5034309998375
2802.2149880157244,2422.2365098270457,1787.5640389539612,1320.1475418024481
2420.960592593413,2257.45823262964,1726.762436483709,1302.1863198737
2091.3651448481355,2103.790312708486,1667.9910297801307,1284.4580394357777
1805.8349461077662,1960.1770207935208,1611.05910048463,1266.9215723976224
1506.1782387348692,1797.5430566028786,1544.2251040450747,1245.8985244328774
1386.261960236962,1725.9862287839387,1513.488747138924,1235.979146327832
1156.4406805601561,1582.915014546817,1450.7603576604201,1215.4884802624981
959.2047931306789,1447.9285630721256,1388.9020169342755,1194.7578061263412
823.8643101219071,1345.7797036774662,1339.9096976793264,1177.9001861772288
673.8548648274448,1223.2597302079694,1278.9169140303404,1156.4529464594962
560.2195659813922,1120.117724218208,1224.9994782029964,1136.9511393150194
462.69627774521143,1022.6224113884741,1171.6873553959854,1117.1590398592223
980.7041869841967,1595.0567735641434,1499.625652310841,1242.229684763691
1291.1629615632437,1847.5280986981475,1618.3087242612694,1281.5546015730515
1081.2664442205482,1697.357390137856,1552.5390702130142,1260.721147108945
905.077057715317,1559.0675362137895,1489.2935797586654,1240.1780435426986
850.6049180581763,1512.1512301138814,1466.8852645838556,1232.7140214451651
807.2911298924998,1473.6509836039381,1448.211390184392,1226.4368987927796
690.5318253753175,1367.0831931405587,1395.8473332628487,1208.6988221516647
690.5318253753175,1367.0831931405587,1395.8473332628487,1208.6988221516647
1198.1992887476397,1869.611557060199,1652.3982440580965,1297.5603405457425
1084.738096933857,1781.0919103349079,1613.2805705870599,1285.2733408728839
1060.255892093434,1760.992562339436,1604.1777591559346,1282.3725185180567
885.1679680672999,1615.5896769300034,1537.9503145093083,1261.1957494220444
758.6386722415706,1500.120392263272,1482.9901890500953,1243.1677348723085
670.7848094690025,1413.2599566524555,1440.0559104109275,1228.7712782218653
595.0157409680031,1333.4419666251576,1399.3902254621403,1214.891587770116
595.0157409680031,1333.4419666251576,1399.3902254621403,1214.891587770116
507.49036555105755,1235.3689236030461,1347.9284966349678,1197.0208265466433
847.0886373989385,1648.7059837998702,1573.427451445024,1277.1220918425388
696.1464219057052,1501.8150193219094,1503.3354283220842,1254.3651299985
674.6765145577211,1478.656220896727,1491.7443063456687,1250.4965324916873
799.4354017295855,1615.3702613652629,1560.7063776453685,1273.6202892017025
663.3309560622154,1477.8612934767964,1494.2785349705941,1251.9368132038321
663.3309560622154,1477.8612934767964,1494.2785349705941,1251.9368132038321
561.1296780838809,1364.012157168829,1436.7216041000015,1232.6478683583944
493.26917213852016,1281.5334016187946,1393.2839377437222,1217.7407780250317
413.1866288594672,1177.5045468925268,1336.7338188904414,1197.9706841154386
549.9090067583368,1372.3211387099661,1447.3142525077033,1237.611221622064
468.89487770161065,1271.2340493257577,1394.008659128949,1219.378387826235
416.4304187656756,1200.1151165430713,1355.014892332167,1205.7348121768146
416.4304187656756,1200.1151165430713,1355.014892332167,1205.7348121768146
535.1031870642565,1371.1172536819533,1451.5516492023137,1240.0953875687644
639.9508132426948,1505.4449803112377,1522.6555728816097,1264.3937025040111
546.1085737847029,1395.065928195226,1466.8351074936656,1245.8526624515218
500.4593408037097,1336.7591256315145,1436.1819092190874,1235.4385760997734
429.3488995103029,1241.788841757915,1385.165012832377,1217.8841865271327
371.71355619426697,1158.4406297299224,1338.679240331847,1201.5354376914604
321.1336265101255,1079.6247719025994,1293.1399394930195,1185.1858650329705
290.114382520564,1027.4827016672896,1261.912889454929,1173.7378052579913
249.77074489827822,956.0412422348293,1218.0421272742117,1157.4156731846017
429.0540732750727,1299.1604014525167,1436.6172117680012,1240.4939913793576
361.6166635707223,1197.0613681119657,1380.1664346207301,1220.9962854389687
290.11378059105687,1078.7132006375866,1311.9409565048359,1196.8533840432551
246.4171254614384,997.475834704821,1262.5401391686007,1178.826494918338
232.06776106349514,968.4333235491547,1244.1600768149442,1171.961951349843
223.85303073417776,951.2930310793528,1233.149887947369,1167.8134425942794
194.36764401045116,888.6420077338863,1192.5429982224482,1152.4312827623903
165.52812412858913,822.715374264683,1148.306767853053,1135.3319527474014
543.9364473428483,1763.106461570917,1804.583217620132,1394.8764034517233
464.07114658650846,1633.669439556052,1738.3422155144979,1374.3956608900144
384.7406813259785,1494.0359397412433,1664.052153660222,1350.9011066535695
375.0183607307081,1475.1589440243365,1653.5395868130036,1347.487406390284
330.23583703098416,1387.0814693069497,1604.1755532823504,1331.3964911097162
294.06173735026334,1311.1108784299781,1560.2451254920688,1316.8123472999557
294.06173735026334,1311.1108784299781,1560.2451254920688,1316.8123472999557
489.76343463499825,1747.391073448347,1819.835698198347,1404.4478260583303
489.54722723902194,1747.0053781850572,1819.6348553477035,1404.385826328301
456.40196799065916,1687.864050294382,1788.8348294962605,1394.87729891596
456.40196799065916,1687.864050294382,1788.8348294962605,1394.87729891596
593.8253782615999,1941.9734211263717,1923.4901333302287,1436.8772920734111
525.8594613168669,1830.839736813701,1868.4521644964245,1420.4316017631172
464.7189546089949,1724.4059104360426,1814.1419730383045,1403.9165603377542
405.1165168449201,1613.8242406575387,1755.973867901412,1385.9106562136392
514.3946651993888,1831.4847376450286,1874.390153626783,1423.294900992217
981.6915359200436,2663.3820575194673,2300.083066363295,1552.5927530779345
931.9199410850358,2595.865547593846,2270.929610751954,1544.7211340792496
823.4654353119455,2444.8153861980645,2204.8583374264736,1526.7440568896839
823.4654353119455,2444.8153861980645,2204.8583374264736,1526.7440568896839
763.6624937289964,2356.0398617788082,2164.827205366315,1515.6563072731258
697.4747000506786,2253.9390767135096,2117.919986013978,1502.5198827692618
805.1125438162984,2427.8587487667655,2199.6320325391393,1525.7075339320213
805.1125438162984,2427.8587487667655,2199.6320325391393,1525.7075339320213
805.1125438162984,2427.8587487667655,2199.6320325391393,1525.7075339320213
1827.9819322066855,3970.1166681862537,2898.272331056392,1719.5437303845426
1584.148993837813,3705.331443612809,2801.6228174283247,1696.6068843990197
