matchday,league,K,combo_odd,won,pnl,cumulative
2025-08-16,E0,2,2.3712,True,1371.2,1371.2
2025-08-23,E0,2,2.7331000000000003,False,-1000.0,371.20000000000005
2025-08-23,D1,3,9.40797,False,-1000.0,-628.8
2025-08-24,SP1,2,4.4144,False,-1000.0,-1628.8
2025-08-30,E0,2,2.758,False,-1000.0,-2628.8
2025-08-31,E0,2,3.38,False,-1000.0,-3628.8
2025-08-31,SP1,2,6.0466999999999995,False,-1000.0,-4628.8
2025-08-31,F1,2,3.3968,False,-1000.0,-5628.8
2025-09-13,E0,2,4.0984,False,-1000.0,-6628.8
2025-09-13,SP1,2,2.6082000000000005,False,-1000.0,-7628.8
2025-09-14,E0,2,2.3541000000000003,True,1354.1000000000004,-6274.7
2025-09-14,SP1,2,3.7878000000000003,False,-1000.0,-7274.7
2025-09-20,E0,2,5.152799999999999,False,-1000.0,-8274.7
2025-09-20,SP1,2,3.8472,False,-1000.0,-9274.7
2025-09-21,T1,3,5.022499999999999,False,-1000.0,-10274.7
2025-09-21,E0,2,5.1659999999999995,False,-1000.0,-11274.7
2025-09-21,SP1,2,3.5778,False,-1000.0,-12274.7
2025-09-21,F1,2,5.5209,False,-1000.0,-13274.7
2025-09-23,SP1,2,1.9418,False,-1000.0,-14274.7
2025-09-24,SP1,2,2.6522,True,1652.2,-12622.5
2025-09-25,SP1,2,2.4156,False,-1000.0,-13622.5
2025-09-27,T1,3,10.423512,False,-1000.0,-14622.5
2025-09-27,E0,2,4.0492,False,-1000.0,-15622.5
2025-09-27,D1,3,11.622314,False,-1000.0,-16622.5
2025-09-27,SP1,2,4.9559999999999995,False,-1000.0,-17622.5
2025-10-04,E0,2,2.8792,False,-1000.0,-18622.5
2025-10-04,D1,3,5.56002,True,4560.0199999999995,-14062.48
2025-10-04,SP1,2,3.276,True,2276.0,-11786.48
2025-10-04,F1,2,4.1184,False,-1000.0,-12786.48
2025-10-05,T1,3,7.924716000000001,False,-1000.0,-13786.48
2025-10-05,E0,2,2.5905,True,1590.5,-12195.98
2025-10-05,SP1,2,2.67,False,-1000.0,-13195.98
2025-10-05,F1,2,3.6489999999999996,False,-1000.0,-14195.98
2025-10-18,E0,2,3.9116,False,-1000.0,-15195.98
2025-10-18,D1,3,8.685640000000001,True,7685.640000000001,-7510.339999999998
2025-10-18,SP1,2,2.5245,False,-1000.0,-8510.339999999998
2025-10-19,T1,3,5.80464,False,-1000.0,-9510.339999999998
2025-10-25,E0,2,3.2683,True,2268.3,-7242.039999999998
2025-10-25,D1,3,5.8344,False,-1000.0,-8242.039999999997
2025-10-25,SP1,2,4.242699999999999,True,3242.6999999999994,-4999.339999999998
