match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
2023-08-12,Konyaspor,Istanbulspor,1-1,Over 2.5,0.544624017548125,0.6527710010290427,1.67,1.71,9.012757171850128,269.03752751791444,False,-269.03752751791444,9730.962472482086,-2.3391812865497075
2023-08-14,Karagumruk,Besiktas,0-1,Over 2.5,0.6442084569575157,0.7759598168590416,1.44,1.63,11.738213627701978,291.9288741744626,False,-291.9288741744626,9439.033598307624,-11.65644171779141
2023-08-14,Alanyaspor,Buyuksehyr,2-0,Over 2.5,0.5340348008432413,0.6384035039760041,1.73,1.95,10.443806187848704,270.0806506885398,False,-270.0806506885398,9168.952947619084,-11.282051282051286
2023-08-18,Antalyaspor,Konyaspor,1-1,Under 2.5,0.5682454573799336,0.5338051260213011,2.0,1.93,6.761025204260229,123.9830439510575,True,123.9830439510575,9292.93599157014,3.62694300518136
2023-08-26,Trabzonspor,Rizespor,2-3,Over 2.5,0.6289415168181433,0.7142450200762644,1.57,1.86,12.136468151973512,278.78807974710423,True,158.90920545584942,9451.84519702599,-15.591397849462362
2023-08-27,Karagumruk,Ankaragucu,1-1,Over 2.5,0.5946853800432873,0.6739360052929446,1.65,1.86,11.199440873335863,283.5553559107797,False,-283.5553559107797,9168.289841115211,-11.290322580645174
2023-09-02,Buyuksehyr,Konyaspor,0-1,Under 2.5,0.6283400806257603,0.611732202157991,1.83,1.83,11.946992994912353,263.93613134248073,True,219.06698901425904,9387.35683012947,0.0
2023-09-02,Antalyaspor,Kayserispor,1-1,Over 2.5,0.541044286404421,0.5968035672680901,1.8,1.85,7.424642108256219,174.24441201551497,False,-174.24441201551497,9213.112418113957,-2.7027027027027084
2023-09-03,Hatayspor,Ad. Demirspor,3-3,Over 2.5,0.6217300215202893,0.690023569755015,1.53,1.62,5.573606172517298,193.77456694979514,True,102.70052048339141,9315.812938597348,-5.555555555555558
2023-09-16,Kayserispor,Gaziantep,2-0,Over 2.5,0.5757745948841698,0.6276724962308425,1.75,1.9,9.842686840397441,244.5136784488969,False,-244.5136784488969,9071.299260148451,-7.894736842105255
2023-09-17,Istanbulspor,Buyuksehyr,0-2,Under 2.5,0.570066408140018,0.583890568403983,1.93,1.88,12.690879701968715,247.57584441097168,True,230.24553530220368,9301.544795450654,2.659574468085113
2023-09-17,Trabzonspor,Besiktas,3-0,Over 2.5,0.5862193131849811,0.6422443145055448,1.73,1.74,11.108266409459233,279.0463438635196,True,203.7038310203693,9505.248626471024,-0.5747126436781658
2023-09-18,Sivasspor,Ankaragucu,1-3,Under 2.5,0.5650011367339471,0.5765248016833757,1.88,1.84,8.386662716474635,181.17571424192317,False,-181.17571424192317,9324.072912229101,2.1739130434782483
2023-09-24,Kasimpasa,Ad. Demirspor,2-1,Over 2.5,0.6964027498462388,0.7459814566096037,1.5,1.5,11.897218491440542,279.722187366873,True,139.86109368343654,9463.934005912537,0.0
2023-09-24,Ankaragucu,Konyaspor,1-1,Under 2.5,0.5884083248090191,0.5744816336512172,1.98,1.96,13.74736346294101,265.518654221565,True,260.2082811371337,9724.14228704967,1.0204081632652962
2023-09-25,Hatayspor,Trabzonspor,3-2,Over 2.5,0.6186883430720934,0.6627796283115703,1.73,1.9,14.660875697901666,291.72426861149006,True,212.95871608638777,9937.101003136058,-8.947368421052627
2023-09-30,Sivasspor,Hatayspor,0-0,Over 2.5,0.5232765024640529,0.5644558403765169,1.95,1.97,10.06888887342079,210.64329626217943,False,-210.64329626217943,9726.457706873878,-1.0152284263959421
2023-09-30,Istanbulspor,Antalyaspor,1-2,Under 2.5,0.5355312507939183,0.5109368670988441,2.08,2.08,6.274868356559571,113.02266978940365,False,-113.02266978940365,9613.435037084475,0.0
2023-10-01,Fenerbahce,Rizespor,5-0,Over 2.5,0.6566181630456691,0.7257937378730204,1.53,1.46,11.046441894572112,288.40305111253423,True,152.85361708964314,9766.288654174117,4.794520547945202
2023-10-07,Antalyaspor,Galatasaray,0-2,Under 2.5,0.5200712371617198,0.48831704086275474,2.25,2.35,9.871334194119807,154.2500786265494,True,192.81259828318673,9959.101252457303,-4.255319148936176
2023-10-08,Kasimpasa,Fenerbahce,0-2,Over 2.5,0.6933094857573333,0.7605773777883224,1.5,1.51,14.086606668248347,298.7730375737191,False,-298.7730375737191,9660.328214883584,-0.6622516556291425
2023-10-21,Galatasaray,Besiktas,2-1,Under 2.5,0.49452733447931063,0.4648461535179783,2.35,2.51,9.238846076724915,132.22264507844756,False,-132.22264507844756,9528.105569805137,-6.374501992031856
2023-10-22,Istanbulspor,Ankaragucu,2-1,Under 2.5,0.5475519489861699,0.5291848115243257,2.05,2.05,8.482886362486774,153.95397485416035,False,-153.95397485416035,9374.151594950976,0.0
2023-10-22,Fenerbahce,Hatayspor,4-2,Over 2.5,0.7342577869858591,0.7934599390633527,1.44,1.4,14.258231225122774,281.22454784852926,True,123.73880105335286,9497.890396004328,2.857142857142869
2023-10-23,Karagumruk,Ad. Demirspor,2-0,Over 2.5,0.6726653335547239,0.7285214313684891,1.53,1.65,11.46377899937885,284.93671188012985,False,-284.93671188012985,9212.953684124199,-7.2727272727272645
2023-10-27,Hatayspor,Kayserispor,1-2,Over 2.5,0.5391185415409089,0.5754989170973566,1.88,1.9,8.193796414303023,171.5660610502652,True,150.97813372423337,9363.931817848432,-1.0526315789473717
2023-10-28,Alanyaspor,Sivasspor,1-2,Over 2.5,0.5593101250912644,0.5974357976629,1.83,2.0,9.330750972310708,210.53618292539852,True,174.7450318280808,9538.676849676513,-8.499999999999996
2023-10-29,Antalyaspor,Buyuksehyr,1-0,Under 2.5,0.6520432189895271,0.6501749109034656,1.73,1.77,12.480259586299546,286.16030549029534,True,208.8970230079156,9747.573872684428,-2.259887005649719
2023-11-04,Fenerbahce,Trabzonspor,2-3,Over 2.5,0.6635228481489037,0.7074550134131494,1.53,1.56,8.240617052211864,292.42721618053287,True,154.9864245756824,9902.56029726011,-1.9230769230769273
2023-11-05,Konyaspor,Karagumruk,1-1,Over 2.5,0.5260705992782638,0.5450220574760912,1.98,2.11,7.914367380266052,159.94387795459843,False,-159.94387795459843,9742.616419305512,-6.16113744075829
2023-11-06,Gaziantep,Rizespor,2-0,Under 2.5,0.5674622258668882,0.5692796137517928,1.93,1.82,9.870965454096003,206.81511851069533,True,192.33806021494664,9934.954479520458,6.043956043956045
2023-11-10,Ankaragucu,Antalyaspor,0-4,Under 2.5,0.5753850232392674,0.5789491012592802,1.83,1.84,5.947685530448288,142.38550603254512,False,-142.38550603254512,9792.568973487912,-0.5434782608695676
2023-11-10,Trabzonspor,Konyaspor,2-1,Over 2.5,0.5376401498289444,0.5590684984263068,1.88,1.94,5.104877704145672,113.61333413424346,True,99.97973403813423,9892.548707526046,-3.0927835051546393
2023-11-11,Kasimpasa,Kayserispor,3-4,Over 2.5,0.627788096829488,0.6412418122672473,1.73,1.64,10.934833522233788,296.3654061024282,True,216.34674645477264,10108.895453980818,5.487804878048785
2023-11-11,Karagumruk,Sivasspor,3-0,Over 2.5,0.5369426923028431,0.5531482564021855,2.05,2.08,13.395392562448016,257.9288056739412,True,270.8252459576382,10379.720699938456,-1.4423076923077094
2023-11-12,Besiktas,Buyuksehyr,1-0,Under 2.5,0.5578842224290197,0.5398565253320546,1.98,1.93,6.891592015746828,145.98530673750577,True,143.06560060275564,10522.786300541211,2.590673575129543
2023-11-25,Konyaspor,Kasimpasa,2-0,Over 2.5,0.5716853181799763,0.5854024405109933,1.85,1.81,8.299451494533772,205.49024585573233,False,-205.49024585573233,10317.29605468548,2.20994475138121
2023-11-27,Sivasspor,Trabzonspor,3-3,Over 2.5,0.5397477845421831,0.5560320459495234,1.95,2.03,8.426248960157046,183.02337926826533,True,173.87221030485205,10491.16826499033,-3.9408866995073843
2023-12-01,Hatayspor,Antalyaspor,3-3,Over 2.5,0.5023407700766017,0.5215122219552463,2.05,2.07,6.910005500825478,138.08386746889312,True,144.98806084233775,10636.156325832668,-0.9661835748792313
2023-12-03,Trabzonspor,Kayserispor,0-1,Over 2.5,0.6636587687896586,0.6761225189306466,1.7,1.63,14.940828218209923,319.08468977498,False,-319.08468977498,10317.071636057688,4.294478527607359
2023-12-10,Istanbulspor,Alanyaspor,0-1,Over 2.5,0.5750995829466293,0.5772348024250433,1.95,1.86,12.560786472883457,272.8221765178166,False,-272.8221765178166,10044.249459539871,4.8387096774193505
2023-12-10,Gaziantep,Trabzonspor,1-3,Over 2.5,0.552267163160198,0.5489459024509807,1.98,1.93,8.691288685294186,178.15810546932883,True,174.59494335994228,10218.844402899813,2.590673575129543
2023-12-21,Samsunspor,Konyaspor,1-1,Under 2.5,0.5502067597420337,0.6125603205935,1.85,1.68,13.32365930979751,306.5653320869944,True,260.58053227394527,10479.424935173758,10.119047619047628
2023-12-21,Besiktas,Alanyaspor,1-3,Over 2.5,0.648104332177958,0.6609361807808868,1.65,1.69,9.054469828846322,291.95580584366314,True,189.771273798381,10669.196208972138,-2.3668639053254448
2023-12-23,Sivasspor,Istanbulspor,1-0,Under 2.5,0.49234443195186495,0.534048933338855,2.05,2.16,9.480031334465245,192.6558369040263,True,202.28862874922757,10871.484837721366,-5.092592592592604
2023-12-23,Karagumruk,Gaziantep,0-3,Over 2.5,0.581658025208826,0.5690268819843292,1.98,1.92,12.667322632897182,281.0461345674822,True,275.4252118761326,11146.910049597498,3.125
2023-12-23,Trabzonspor,Buyuksehyr,1-1,Under 2.5,0.5155827256084413,0.5659264357776916,1.93,2.1,9.223802105094482,221.11159651779835,True,205.63378476155245,11352.54383435905,-8.0952380952381
2023-12-24,Fenerbahce,Galatasaray,0-0,Under 2.5,0.46390548289870015,0.49460568520014825,2.3,2.42,13.759307596034098,240.31252709908685,True,312.40628522881286,11664.950119587864,-4.958677685950419
2023-12-24,Konyaspor,Kayserispor,2-0,Under 2.5,0.5083890624689429,0.5561006222631404,1.93,1.77,7.327420096786086,183.81503211672126,True,170.94797986855073,11835.898099456415,9.039548022598876
2024-01-05,Antalyaspor,Alanyaspor,0-0,Over 2.5,0.5533799056095426,0.5296253089595973,2.0,2.21,5.92506179191945,140.2568552042825,False,-140.2568552042825,11695.641244252132,-9.502262443438914
2024-01-06,Buyuksehyr,Ad. Demirspor,0-0,Under 2.5,0.5053695630065989,0.542249164544669,2.1,2.25,13.8723245543805,294.9922385670255,True,324.491462423728,12020.13270667586,-6.666666666666665
2024-01-09,Pendikspor,Antalyaspor,0-1,Over 2.5,0.5625825491031534,0.5409623224502877,1.95,2.07,5.487652877806104,138.8680333461075,False,-138.8680333461075,11881.264673329753,-5.797101449275354
2024-01-09,Kasimpasa,Buyuksehyr,0-3,Under 2.5,0.4713376112556086,0.5007425737967311,2.1,2.22,5.155940497313538,111.38017034276673,False,-111.38017034276673,11769.884502986986,-5.405405405405405
2024-01-10,Hatayspor,Gaziantep,0-0,Under 2.5,0.5145615721413934,0.5533784790632521,1.9,1.78,5.1419110220178865,134.48821967508096,True,121.03939770757285,11890.923900694559,6.741573033707859
2024-01-10,Karagumruk,Kayserispor,4-1,Over 2.5,0.5972820892523797,0.5837727467823787,1.88,2.01,9.74927639508718,263.4725084109533,True,231.8558074016389,12122.779708096197,-6.467661691542281
2024-01-13,Besiktas,Karagumruk,3-0,Over 2.5,0.59534744693063,0.5825591945650794,1.83,1.79,6.608332605409539,193.03942268243188,True,160.22272082641845,12283.002428922615,2.2346368715083775
2024-01-14,Istanbulspor,Konyaspor,0-0,Under 2.5,0.5208166125440366,0.5810712745836042,1.9,1.85,10.403542170884794,283.97051945417064,True,255.5734675087536,12538.575896431368,2.7027027027026973
