lig,sezon,n,settled_pct,anomaly_pct,model_pct,xg_pct,form_pct,fav_pct,odd1_pct
T1,2122,380,100.0,0.0,65.26315789473685,0.0,57.89473684210527,99.73684210526315,99.73684210526315
T1,2223,342,100.0,0.0,49.707602339181285,0.0,54.97076023391813,91.52046783625731,91.52046783625731
T1,2324,380,100.0,0.0,61.31578947368421,0.0,58.42105263157895,100.0,100.0
T1,2425,342,100.0,0.0,45.32163742690059,0.0,57.30994152046783,100.0,100.0
T1,2526,306,100.0,0.0,19.934640522875817,0.0,55.22875816993464,44.11764705882353,44.11764705882353
E0,2122,380,100.0,0.0,74.47368421052632,56.315789473684205,61.578947368421055,100.0,100.0
E0,2223,380,100.0,0.0,74.47368421052632,73.94736842105263,59.73684210526316,100.0,100.0
E0,2324,380,100.0,0.0,51.84210526315789,74.21052631578947,61.8421052631579,100.0,100.0
E0,2425,380,100.0,0.0,60.526315789473685,69.73684210526315,59.210526315789465,100.0,100.0
E0,2526,380,100.0,0.0,28.421052631578945,65.26315789473685,58.684210526315795,55.26315789473685,55.26315789473685
D1,2122,306,100.0,0.0,54.90196078431373,28.75816993464052,57.51633986928104,100.0,100.0
D1,2223,306,100.0,0.0,55.55555555555556,46.73202614379085,57.84313725490197,100.0,100.0
D1,2324,306,100.0,0.0,61.43790849673203,44.44444444444444,57.84313725490197,100.0,100.0
D1,2425,306,100.0,0.0,47.712418300653596,50.326797385620914,57.18954248366013,100.0,100.0
D1,2526,306,100.0,0.0,24.18300653594771,43.13725490196079,61.111111111111114,48.69281045751634,48.69281045751634
SP1,2122,380,100.0,0.0,40.0,45.26315789473684,57.631578947368425,100.0,100.0
SP1,2223,380,100.0,0.0,49.73684210526316,54.473684210526315,56.84210526315789,100.0,100.0
SP1,2324,380,100.0,0.0,51.05263157894737,57.36842105263158,55.52631578947368,100.0,100.0
SP1,2425,380,100.0,0.0,39.73684210526316,59.473684210526315,57.631578947368425,100.0,100.0
SP1,2526,380,100.0,0.0,20.526315789473685,57.89473684210527,55.00000000000001,49.473684210526315,49.473684210526315
I1,2122,380,100.0,0.0,52.368421052631575,56.315789473684205,61.8421052631579,100.0,100.0
I1,2223,380,100.0,0.0,50.26315789473684,78.15789473684211,57.89473684210527,100.0,100.0
I1,2324,380,100.0,0.0,53.68421052631579,69.73684210526315,58.684210526315795,100.0,100.0
I1,2425,380,100.0,0.0,54.736842105263165,70.0,61.05263157894737,100.0,100.0
I1,2526,380,100.0,0.0,20.263157894736842,57.89473684210527,54.473684210526315,52.10526315789473,52.10526315789473
F1,2122,380,100.0,0.0,55.26315789473685,45.78947368421053,56.57894736842105,100.0,100.0
F1,2223,380,100.0,0.0,51.31578947368421,62.36842105263158,62.63157894736842,100.0,100.0
F1,2324,306,100.0,0.0,49.673202614379086,59.47712418300654,56.86274509803921,100.0,100.0
F1,2425,306,100.0,0.0,49.673202614379086,56.86274509803921,53.92156862745098,100.0,100.0
F1,2526,305,100.0,0.0,25.573770491803277,65.90163934426229,60.65573770491803,50.1639344262295,50.1639344262295
