n,n_won,hit_rate,total_stake,total_pnl,roi_pct,best_week,worst_week,longest_loss_streak,longest_win_streak,max_drawdown_tl,cumulative_high,cumulative_low,avg_combo_odd,annual_pnl,monthly_pnl,pnls,weekly_data,entry_week
103,25,0.24271844660194175,103000.0,62143.106,60.33311262135922,13229.732,-1000.0,14,3,14000.0,63143.106,4025.38,7.691571601941746,16875.66503085502,1406.3054192379184,"[8025.38, -1000.0, -1000.0, -1000.0, -1000.0, 5368.544, -1000.0, 6739.759999999998, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 13229.732, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 6140.672, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 3033.132, -1000.0, 5869.0199999999995, -1000.0, -1000.0, 3876.2, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 4476.9439999999995, -1000.0, -1000.0, 2729.92, 4287.967999999999, 3921.5600000000004, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 6069.100999999999, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 12522.908000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999, -1000.0, -1000.0, -1000.0, 4225.288, 6853.664, -1000.0, -1000.0, 2746.177, -1000.0, -1000.0, 3750.3089999999997, 2760.187999999999, -1000.0, 8343.488000000003, -1000.0]","[('2021-09-11', 'T1', 9.02538, True, 8025.38), ('2021-09-12', 'T1', 8.975615999999999, False, -1000.0), ('2021-09-21', 'T1', 5.780880000000001, False, -1000.0), ('2021-09-22', 'T1', 12.190529999999999, False, -1000.0), ('2021-09-23', 'T1', 5.995807999999999, False, -1000.0), ('2021-09-26', 'T1', 6.368544, True, 5368.544), ('2021-10-02', 'T1', 10.663812, False, -1000.0), ('2021-10-03', 'T1', 7.739759999999999, True, 6739.759999999998), ('2021-10-16', 'T1', 5.575672, False, -1000.0), ('2021-10-30', 'T1', 11.79984, False, -1000.0), ('2021-10-31', 'T1', 7.095490000000001, False, -1000.0), ('2021-11-07', 'T1', 7.416409000000001, False, -1000.0), ('2021-11-21', 'T1', 9.301779, False, -1000.0), ('2021-12-04', 'T1', 7.351176, False, -1000.0), ('2021-12-05', 'T1', 14.229732, True, 13229.732), ('2021-12-18', 'T1', 9.382776, False, -1000.0), ('2021-12-19', 'T1', 11.65835, False, -1000.0), ('2021-12-21', 'T1', 9.305226, False, -1000.0), ('2021-12-22', 'T1', 8.078382000000001, False, -1000.0), ('2021-12-25', 'T1', 8.084196, False, -1000.0), ('2022-01-08', 'T1', 8.10986, False, -1000.0), ('2022-01-09', 'T1', 10.823264000000002, False, -1000.0), ('2022-01-19', 'T1', 5.6332640000000005, False, -1000.0), ('2022-01-23', 'T1', 10.80378, False, -1000.0), ('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2022-09-03', 'T1', 7.1406719999999995, True, 6140.672), ('2022-09-11', 'T1', 6.104279999999999, False, -1000.0), ('2022-09-18', 'T1', 4.434192, False, -1000.0), ('2022-10-01', 'T1', 10.722257, False, -1000.0), ('2022-10-09', 'T1', 8.56575, False, -1000.0), ('2022-10-15', 'T1', 6.951473999999999, False, -1000.0), ('2022-10-23', 'T1', 6.8210999999999995, False, -1000.0), ('2022-10-30', 'T1', 4.033132, True, 3033.132), ('2022-11-06', 'T1', 8.893439999999998, False, -1000.0), ('2022-12-29', 'T1', 6.86902, True, 5869.0199999999995), ('2023-01-09', 'T1', 12.680188000000001, False, -1000.0), ('2023-01-28', 'T1', 4.568079999999999, False, -1000.0), ('2023-02-01', 'T1', 4.8762, True, 3876.2), ('2023-03-19', 'T1', 11.4056, False, -1000.0), ('2023-04-01', 'T1', 3.90082, False, -1000.0), ('2023-04-29', 'T1', 9.512584, False, -1000.0), ('2023-05-07', 'T1', 7.201639999999999, False, -1000.0), ('2023-05-17', 'T1', 10.386306, False, -1000.0), ('2023-05-30', 'T1', 5.476944, True, 4476.9439999999995), ('2023-09-02', 'T1', 8.91202, False, -1000.0), ('2023-09-17', 'T1', 6.773760000000001, False, -1000.0), ('2023-09-30', 'T1', 3.72992, True, 2729.92), ('2023-10-01', 'T1', 5.287967999999999, True, 4287.967999999999), ('2023-10-08', 'T1', 4.92156, True, 3921.5600000000004), ('2023-10-21', 'T1', 8.855938, False, -1000.0), ('2023-10-28', 'T1', 5.748761999999999, False, -1000.0), ('2023-10-29', 'T1', 8.50176, False, -1000.0), ('2023-11-11', 'T1', 7.960212, False, -1000.0), ('2023-11-12', 'T1', 8.079552, False, -1000.0), ('2023-11-25', 'T1', 6.170515999999999, False, -1000.0), ('2023-12-03', 'T1', 8.283128, False, -1000.0), ('2023-12-10', 'T1', 7.069100999999999, True, 6069.100999999999), ('2023-12-21', 'T1', 9.820473999999999, False, -1000.0), ('2023-12-25', 'T1', 17.722320000000003, False, -1000.0), ('2024-01-06', 'T1', 9.194328, False, -1000.0), ('2024-01-29', 'T1', 5.09703, False, -1000.0), ('2024-02-03', 'T1', 4.6464, False, -1000.0), ('2024-02-11', 'T1', 7.802514, False, -1000.0), ('2024-02-18', 'T1', 9.000096000000001, False, -1000.0), ('2024-02-24', 'T1', 13.522908000000001, True, 12522.908000000001), ('2024-02-25', 'T1', 8.871343999999999, False, -1000.0), ('2024-03-09', 'T1', 11.505808, False, -1000.0), ('2024-03-10', 'T1', 4.47678, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999), ('2024-08-31', 'T1', 6.88896, False, -1000.0), ('2024-10-05', 'T1', 6.973224, False, -1000.0), ('2024-10-06', 'T1', 7.597226000000001, False, -1000.0), ('2024-11-23', 'T1', 5.225288, True, 4225.288), ('2024-11-30', 'T1', 7.853663999999999, True, 6853.664), ('2024-12-07', 'T1', 4.936553999999999, False, -1000.0), ('2025-01-25', 'T1', 6.978400000000001, False, -1000.0), ('2025-02-09', 'T1', 3.7461770000000003, True, 2746.177), ('2025-02-16', 'T1', 5.4431009999999995, False, -1000.0), ('2025-03-29', 'T1', 5.8423680000000004, False, -1000.0), ('2025-04-13', 'T1', 4.750309, True, 3750.3089999999997), ('2025-04-27', 'T1', 3.760187999999999, True, 2760.187999999999), ('2025-05-03', 'T1', 4.002768, False, -1000.0), ('2025-05-10', 'T1', 9.343488000000002, True, 8343.488000000003), ('2025-05-18', 'T1', 7.906249999999999, False, -1000.0)]",1
87,20,0.22988505747126436,87000.0,47733.878,54.866526436781605,13229.732,-1000.0,14,3,14000.0,48733.878000000004,-1000.0,7.7755138160919515,13079.36904688672,1089.9474205738934,"[-1000.0, 5368.544, -1000.0, 6739.759999999998, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 13229.732, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 3033.132, -1000.0, 5869.0199999999995, -1000.0, -1000.0, 3876.2, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 4476.9439999999995, 3921.5600000000004, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 6069.100999999999, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 12522.908000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999, 6853.664, -1000.0, -1000.0, 2746.177, -1000.0, -1000.0, 3750.3089999999997, 2760.187999999999, -1000.0, 8343.488000000003, -1000.0]","[('2021-09-23', 'T1', 5.995807999999999, False, -1000.0), ('2021-09-26', 'T1', 6.368544, True, 5368.544), ('2021-10-02', 'T1', 10.663812, False, -1000.0), ('2021-10-03', 'T1', 7.739759999999999, True, 6739.759999999998), ('2021-10-16', 'T1', 5.575672, False, -1000.0), ('2021-10-30', 'T1', 11.79984, False, -1000.0), ('2021-10-31', 'T1', 7.095490000000001, False, -1000.0), ('2021-11-07', 'T1', 7.416409000000001, False, -1000.0), ('2021-11-21', 'T1', 9.301779, False, -1000.0), ('2021-12-04', 'T1', 7.351176, False, -1000.0), ('2021-12-05', 'T1', 14.229732, True, 13229.732), ('2021-12-18', 'T1', 9.382776, False, -1000.0), ('2021-12-19', 'T1', 11.65835, False, -1000.0), ('2021-12-21', 'T1', 9.305226, False, -1000.0), ('2021-12-22', 'T1', 8.078382000000001, False, -1000.0), ('2021-12-25', 'T1', 8.084196, False, -1000.0), ('2022-01-08', 'T1', 8.10986, False, -1000.0), ('2022-01-09', 'T1', 10.823264000000002, False, -1000.0), ('2022-01-19', 'T1', 5.6332640000000005, False, -1000.0), ('2022-01-23', 'T1', 10.80378, False, -1000.0), ('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2022-10-09', 'T1', 8.56575, False, -1000.0), ('2022-10-15', 'T1', 6.951473999999999, False, -1000.0), ('2022-10-23', 'T1', 6.8210999999999995, False, -1000.0), ('2022-10-30', 'T1', 4.033132, True, 3033.132), ('2022-11-06', 'T1', 8.893439999999998, False, -1000.0), ('2022-12-29', 'T1', 6.86902, True, 5869.0199999999995), ('2023-01-09', 'T1', 12.680188000000001, False, -1000.0), ('2023-01-28', 'T1', 4.568079999999999, False, -1000.0), ('2023-02-01', 'T1', 4.8762, True, 3876.2), ('2023-03-19', 'T1', 11.4056, False, -1000.0), ('2023-04-01', 'T1', 3.90082, False, -1000.0), ('2023-04-29', 'T1', 9.512584, False, -1000.0), ('2023-05-07', 'T1', 7.201639999999999, False, -1000.0), ('2023-05-17', 'T1', 10.386306, False, -1000.0), ('2023-05-30', 'T1', 5.476944, True, 4476.9439999999995), ('2023-10-08', 'T1', 4.92156, True, 3921.5600000000004), ('2023-10-21', 'T1', 8.855938, False, -1000.0), ('2023-10-28', 'T1', 5.748761999999999, False, -1000.0), ('2023-10-29', 'T1', 8.50176, False, -1000.0), ('2023-11-11', 'T1', 7.960212, False, -1000.0), ('2023-11-12', 'T1', 8.079552, False, -1000.0), ('2023-11-25', 'T1', 6.170515999999999, False, -1000.0), ('2023-12-03', 'T1', 8.283128, False, -1000.0), ('2023-12-10', 'T1', 7.069100999999999, True, 6069.100999999999), ('2023-12-21', 'T1', 9.820473999999999, False, -1000.0), ('2023-12-25', 'T1', 17.722320000000003, False, -1000.0), ('2024-01-06', 'T1', 9.194328, False, -1000.0), ('2024-01-29', 'T1', 5.09703, False, -1000.0), ('2024-02-03', 'T1', 4.6464, False, -1000.0), ('2024-02-11', 'T1', 7.802514, False, -1000.0), ('2024-02-18', 'T1', 9.000096000000001, False, -1000.0), ('2024-02-24', 'T1', 13.522908000000001, True, 12522.908000000001), ('2024-02-25', 'T1', 8.871343999999999, False, -1000.0), ('2024-03-09', 'T1', 11.505808, False, -1000.0), ('2024-03-10', 'T1', 4.47678, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999), ('2024-11-30', 'T1', 7.853663999999999, True, 6853.664), ('2024-12-07', 'T1', 4.936553999999999, False, -1000.0), ('2025-01-25', 'T1', 6.978400000000001, False, -1000.0), ('2025-02-09', 'T1', 3.7461770000000003, True, 2746.177), ('2025-02-16', 'T1', 5.4431009999999995, False, -1000.0), ('2025-03-29', 'T1', 5.8423680000000004, False, -1000.0), ('2025-04-13', 'T1', 4.750309, True, 3750.3089999999997), ('2025-04-27', 'T1', 3.760187999999999, True, 2760.187999999999), ('2025-05-03', 'T1', 4.002768, False, -1000.0), ('2025-05-10', 'T1', 9.343488000000002, True, 8343.488000000003), ('2025-05-18', 'T1', 7.906249999999999, False, -1000.0)]",5
67,14,0.208955223880597,67000.0,33071.041,49.35976268656716,13229.732,-1000.0,14,2,14000.0,34071.041,-5770.268,8.05843405970149,9320.368615162035,776.6973845968363,"[-1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 13229.732, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5869.0199999999995, -1000.0, -1000.0, 3876.2, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 4476.9439999999995, -1000.0, -1000.0, -1000.0, 6069.100999999999, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 12522.908000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999, -1000.0, 3750.3089999999997, 2760.187999999999, -1000.0, 8343.488000000003, -1000.0]","[('2021-10-30', 'T1', 11.79984, False, -1000.0), ('2021-10-31', 'T1', 7.095490000000001, False, -1000.0), ('2021-11-07', 'T1', 7.416409000000001, False, -1000.0), ('2021-11-21', 'T1', 9.301779, False, -1000.0), ('2021-12-04', 'T1', 7.351176, False, -1000.0), ('2021-12-05', 'T1', 14.229732, True, 13229.732), ('2021-12-18', 'T1', 9.382776, False, -1000.0), ('2021-12-19', 'T1', 11.65835, False, -1000.0), ('2021-12-21', 'T1', 9.305226, False, -1000.0), ('2021-12-22', 'T1', 8.078382000000001, False, -1000.0), ('2021-12-25', 'T1', 8.084196, False, -1000.0), ('2022-01-08', 'T1', 8.10986, False, -1000.0), ('2022-01-09', 'T1', 10.823264000000002, False, -1000.0), ('2022-01-19', 'T1', 5.6332640000000005, False, -1000.0), ('2022-01-23', 'T1', 10.80378, False, -1000.0), ('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2022-12-29', 'T1', 6.86902, True, 5869.0199999999995), ('2023-01-09', 'T1', 12.680188000000001, False, -1000.0), ('2023-01-28', 'T1', 4.568079999999999, False, -1000.0), ('2023-02-01', 'T1', 4.8762, True, 3876.2), ('2023-03-19', 'T1', 11.4056, False, -1000.0), ('2023-04-01', 'T1', 3.90082, False, -1000.0), ('2023-04-29', 'T1', 9.512584, False, -1000.0), ('2023-05-07', 'T1', 7.201639999999999, False, -1000.0), ('2023-05-17', 'T1', 10.386306, False, -1000.0), ('2023-05-30', 'T1', 5.476944, True, 4476.9439999999995), ('2023-11-12', 'T1', 8.079552, False, -1000.0), ('2023-11-25', 'T1', 6.170515999999999, False, -1000.0), ('2023-12-03', 'T1', 8.283128, False, -1000.0), ('2023-12-10', 'T1', 7.069100999999999, True, 6069.100999999999), ('2023-12-21', 'T1', 9.820473999999999, False, -1000.0), ('2023-12-25', 'T1', 17.722320000000003, False, -1000.0), ('2024-01-06', 'T1', 9.194328, False, -1000.0), ('2024-01-29', 'T1', 5.09703, False, -1000.0), ('2024-02-03', 'T1', 4.6464, False, -1000.0), ('2024-02-11', 'T1', 7.802514, False, -1000.0), ('2024-02-18', 'T1', 9.000096000000001, False, -1000.0), ('2024-02-24', 'T1', 13.522908000000001, True, 12522.908000000001), ('2024-02-25', 'T1', 8.871343999999999, False, -1000.0), ('2024-03-09', 'T1', 11.505808, False, -1000.0), ('2024-03-10', 'T1', 4.47678, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999), ('2025-03-29', 'T1', 5.8423680000000004, False, -1000.0), ('2025-04-13', 'T1', 4.750309, True, 3750.3089999999997), ('2025-04-27', 'T1', 3.760187999999999, True, 2760.187999999999), ('2025-05-03', 'T1', 4.002768, False, -1000.0), ('2025-05-10', 'T1', 9.343488000000002, True, 8343.488000000003), ('2025-05-18', 'T1', 7.906249999999999, False, -1000.0)]",10
47,8,0.1702127659574468,47000.0,16402.735,34.899436170212766,13229.732,-1000.0,14,2,14000.0,17402.734999999997,-770.268,8.285732085106385,4754.840443452381,396.2367036210317,"[13229.732, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 4476.9439999999995, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 12522.908000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999, -1000.0]","[('2021-12-05', 'T1', 14.229732, True, 13229.732), ('2021-12-18', 'T1', 9.382776, False, -1000.0), ('2021-12-19', 'T1', 11.65835, False, -1000.0), ('2021-12-21', 'T1', 9.305226, False, -1000.0), ('2021-12-22', 'T1', 8.078382000000001, False, -1000.0), ('2021-12-25', 'T1', 8.084196, False, -1000.0), ('2022-01-08', 'T1', 8.10986, False, -1000.0), ('2022-01-09', 'T1', 10.823264000000002, False, -1000.0), ('2022-01-19', 'T1', 5.6332640000000005, False, -1000.0), ('2022-01-23', 'T1', 10.80378, False, -1000.0), ('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2023-04-01', 'T1', 3.90082, False, -1000.0), ('2023-04-29', 'T1', 9.512584, False, -1000.0), ('2023-05-07', 'T1', 7.201639999999999, False, -1000.0), ('2023-05-17', 'T1', 10.386306, False, -1000.0), ('2023-05-30', 'T1', 5.476944, True, 4476.9439999999995), ('2023-12-25', 'T1', 17.722320000000003, False, -1000.0), ('2024-01-06', 'T1', 9.194328, False, -1000.0), ('2024-01-29', 'T1', 5.09703, False, -1000.0), ('2024-02-03', 'T1', 4.6464, False, -1000.0), ('2024-02-11', 'T1', 7.802514, False, -1000.0), ('2024-02-18', 'T1', 9.000096000000001, False, -1000.0), ('2024-02-24', 'T1', 13.522908000000001, True, 12522.908000000001), ('2024-02-25', 'T1', 8.871343999999999, False, -1000.0), ('2024-03-09', 'T1', 11.505808, False, -1000.0), ('2024-03-10', 'T1', 4.47678, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999), ('2025-05-18', 'T1', 7.906249999999999, False, -1000.0)]",15
31,6,0.1935483870967742,31000.0,12696.059000000001,40.95502903225807,12522.908000000001,-1000.0,10,2,10000.0,12696.059000000001,-10000.0,7.997671161290323,5251.682389297849,437.6401991081541,"[-1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 12522.908000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999]","[('2021-12-25', 'T1', 8.084196, False, -1000.0), ('2022-01-08', 'T1', 8.10986, False, -1000.0), ('2022-01-09', 'T1', 10.823264000000002, False, -1000.0), ('2022-01-19', 'T1', 5.6332640000000005, False, -1000.0), ('2022-01-23', 'T1', 10.80378, False, -1000.0), ('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2024-02-18', 'T1', 9.000096000000001, False, -1000.0), ('2024-02-24', 'T1', 13.522908000000001, True, 12522.908000000001), ('2024-02-25', 'T1', 8.871343999999999, False, -1000.0), ('2024-03-09', 'T1', 11.505808, False, -1000.0), ('2024-03-10', 'T1', 4.47678, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999)]",20
21,5,0.23809523809523808,21000.0,9173.150999999998,43.68167142857142,7722.394999999999,-1000.0,9,2,9000.0,9173.150999999998,-5000.0,7.480786,3983.9398368014263,331.9949864001189,"[-1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 7722.394999999999, 4417.972000000001, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, 5853.960000000001, -1000.0, -1000.0, 2824.496, 4354.327999999999]","[('2022-02-05', 'T1', 11.449200000000001, False, -1000.0), ('2022-02-06', 'T1', 8.428600000000001, False, -1000.0), ('2022-02-20', 'T1', 13.426190000000002, False, -1000.0), ('2022-03-06', 'T1', 11.179476000000003, False, -1000.0), ('2022-03-14', 'T1', 11.983825, False, -1000.0), ('2022-04-02', 'T1', 8.722394999999999, True, 7722.394999999999), ('2022-04-03', 'T1', 5.417972000000001, True, 4417.972000000001), ('2022-04-09', 'T1', 10.411200000000001, False, -1000.0), ('2022-04-10', 'T1', 10.456264000000001, False, -1000.0), ('2022-04-16', 'T1', 5.1408, False, -1000.0), ('2022-04-24', 'T1', 4.941090000000001, False, -1000.0), ('2022-05-01', 'T1', 8.695512, False, -1000.0), ('2022-05-15', 'T1', 3.7237199999999997, False, -1000.0), ('2024-03-17', 'T1', 7.125299999999999, False, -1000.0), ('2024-04-13', 'T1', 6.67212, False, -1000.0), ('2024-04-14', 'T1', 3.8507040000000003, False, -1000.0), ('2024-04-21', 'T1', 6.853960000000001, True, 5853.960000000001), ('2024-04-28', 'T1', 4.120896, False, -1000.0), ('2024-05-05', 'T1', 5.318458, False, -1000.0), ('2024-05-12', 'T1', 3.824496, True, 2824.496), ('2024-05-26', 'T1', 5.354327999999999, True, 4354.327999999999)]",25
