name,n,hit_rate,total_stake,total_pnl,roi_pct,max_dd,annual_pnl,monthly_pnl
T1-only,103,0.24271844660194175,103000.0,62143.106,60.33311262135922,14000.0,16875.66503085502,1406.3054192379184
T1-only +skip_dark,80,0.3125,80000.0,85143.106,106.4288825,7000.0,23121.575811524166,1926.7979842936804
E0+T1 paralel,272,0.22426470588235295,272000.0,73849.329,27.150488602941174,21000.0,19545.990882065216,1628.8325735054348
E0+T1 paralel +skip_dark,209,0.24401913875598086,209000.0,77430.357,37.04801770334928,15000.0,20493.795575543478,1707.8162979619565
ALL 3-lig paralel,397,0.21158690176322417,397000.0,80672.29499999998,20.320477329974807,27575.632,21351.851991847823,1779.320999320652
ALL 3-lig +skip_dark,294,0.22108843537414966,294000.0,73008.617,24.83286292517007,24575.632,19323.47634728261,1610.2896956068842
