league,match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
E0,2023-08-12,Arsenal,Nott'm Forest,2-1,Over 2.5,0.7045429904643854,0.7761379762068948,1.44,1.49,11.763868573792857,300.0,True,132.0,10132.0,-3.3557046979865834
E0,2023-08-13,Brentford,Tottenham,2-2,Over 2.5,0.6056157596615669,0.6180262232681487,1.73,1.77,6.918536625389726,192.05099476287322,True,140.19722617689743,10272.197226176897,-2.259887005649719
E0,2023-08-19,Fulham,Brentford,0-3,Under 2.5,0.5173893440511809,0.5925717567231505,1.94,1.75,14.958920804291198,308.1659167853069,False,-308.1659167853069,9964.03130939159,10.857142857142854
E0,2023-08-21,Crystal Palace,Arsenal,0-1,Under 2.5,0.5005829152449941,0.5620750816222928,1.96,1.79,10.166715997969389,211.044742744707,True,202.60295303491873,10166.634262426509,9.49720670391061
E0,2023-09-02,Burnley,Tottenham,2-5,Under 2.5,0.4715267465198095,0.477459757762116,2.3,2.28,9.815744285286687,153.52781871078884,False,-153.52781871078884,10013.10644371572,0.8771929824561431
E0,2023-09-16,Man United,Brighton,1-3,Under 2.5,0.4353979590453688,0.3918545710971336,2.75,2.75,7.760007051711737,88.80203041459924,False,-88.80203041459924,9924.30441330112,0.0
E0,2023-09-23,Brentford,Everton,1-3,Under 2.5,0.5411065086507424,0.5656507156591338,1.95,1.78,10.301889553531085,215.24018518199873,False,-215.24018518199873,9709.064228119121,9.550561797752799
E0,2023-09-24,Liverpool,West Ham,3-1,Over 2.5,0.6400098730551343,0.7571786986300537,1.4,1.41,6.005017808207502,291.2719268435736,True,116.50877073742942,9825.57299885655,-0.7092198581560294
E0,2023-09-30,Bournemouth,Arsenal,0-4,Over 2.5,0.6036319485641866,0.7186991256704486,1.53,1.62,9.960966227578627,294.7671899656965,True,156.22661068181918,9981.79960953837,-5.555555555555558
E0,2023-10-07,Crystal Palace,Nott'm Forest,0-0,Under 2.5,0.6198814530606932,0.7066485841113488,1.62,1.59,14.477070626038513,299.45398828615106,True,185.6614727374137,10167.461082275784,1.8867924528301883
E0,2023-10-08,Brighton,Liverpool,2-2,Over 2.5,0.6733201736250063,0.8310796335403974,1.36,1.35,13.02683016149404,305.0238324682735,True,109.8085796885785,10277.269661964363,0.7407407407407307
E0,2023-10-21,Liverpool,Everton,2-0,Over 2.5,0.6474075737821288,0.7894101533683663,1.4,1.41,10.517421471571264,308.3180898589309,False,-308.3180898589309,9968.951572105432,-0.7092198581560294
E0,2023-10-21,Brentford,Burnley,3-0,Over 2.5,0.5116015473897693,0.5602570628632989,1.95,1.93,9.250127258343287,194.13488562997188,True,184.42814134847325,10153.379713453905,1.0362694300518172
E0,2023-10-29,Brighton,Fulham,1-1,Over 2.5,0.6124665367573092,0.7367824041205584,1.5,1.68,10.51736061808377,304.60139140361713,False,-304.60139140361713,9848.778322050288,-10.71428571428571
E0,2023-10-29,Liverpool,Nott'm Forest,3-0,Over 2.5,0.6578127391821783,0.8004867285304551,1.4,1.44,12.068141994263716,295.46334966150863,True,118.1853398646034,9966.963661914891,-2.777777777777779
E0,2023-11-04,Fulham,Man United,0-1,Under 2.5,0.5404472447366055,0.5232571750189619,2.05,2.1,7.267720878887163,137.9754474377307,True,144.87421980961724,10111.837881724508,-2.3809523809523947
E0,2023-11-11,Bournemouth,Newcastle,2-0,Over 2.5,0.5605704635119947,0.6555217961695968,1.7,1.83,11.43870534883147,303.35513645173523,False,-303.35513645173523,9808.482745272773,-7.10382513661203
E0,2023-11-25,Man City,Liverpool,1-1,Over 2.5,0.6047595305216094,0.712596483405526,1.48,1.5,5.464279544017847,223.31788176185825,False,-223.31788176185825,9585.164863510914,-1.3333333333333308
