matchday,league,K,combo_odd,won,pnl,cumulative
2025-09-21,T1,3,5.022499999999999,False,-1000.0,-1000.0
2025-09-27,T1,3,10.423512,False,-1000.0,-2000.0
2025-10-05,T1,3,7.924716000000001,False,-1000.0,-3000.0
2025-10-19,T1,3,5.80464,False,-1000.0,-4000.0
2025-10-26,T1,3,5.634999999999999,False,-1000.0,-5000.0
2025-11-29,T1,3,5.9724,False,-1000.0,-6000.0
