eq_flat,eq_pct5,eq_pct2,eq_kelly_full,eq_kelly_half
1000.0,1000.0,1000.0,1000.0,1000.0
1401.269,1401.269,1160.5076,1802.538,1401.269
1351.269,1331.20555,1137.2974479999998,1622.2842,1331.20555
1301.269,1264.6452725,1114.5514990399997,1484.9400793524774,1274.8549871128523
1251.269,1201.4130088749998,1092.2604690591997,1336.4460714172296,1211.1122377572096
1201.269,1141.3423584312497,1070.4152596780157,1214.197393745917,1155.7202272811128
1469.6961999999999,1447.7096919463465,1185.3466880750727,1866.044607046945,1465.9469718735454
1419.6961999999999,1375.3242073490292,1161.6397543135713,1679.4401463422505,1392.6496232798681
1756.6841999999997,1838.7919613351637,1318.22321732422,2811.342498413415,1861.9558345297041
1706.6841999999997,1746.8523632684055,1291.8587529777355,2593.295280707618,1789.7493549848957
1656.6841999999997,1659.5097451049853,1266.0215779181808,2333.9657526368565,1700.2618872356509
1606.6841999999997,1576.5342578497362,1240.7011463598171,2100.569177373171,1615.2487928738683
1556.6841999999997,1497.7075449572494,1215.8871234326207,1890.5122596358538,1534.486353230175
1506.6841999999997,1422.822167709387,1191.5693809639683,1701.4610336722683,1457.762035568666
1456.6841999999997,1351.6810593239177,1167.737993344689,1531.3149303050413,1384.8739337902327
2118.1708,2245.7999675404944,1476.7152073080492,3557.203543858479,2300.949483681759
2068.1708,2133.5099691634696,1447.1809031618882,3201.4831894726312,2185.902009497671
2018.1707999999999,2026.834470705296,1418.2372850986503,2881.334870525368,2076.6069090227875
1968.1707999999999,1925.4927471700312,1389.8725393966772,2593.2013834728314,1972.776563571648
1918.1707999999999,1829.2181098115295,1362.0750886087437,2333.881245125548,1874.1377353930657
1868.1707999999999,1737.757204320953,1334.8335868365689,2100.493120612993,1780.4308486234124
1818.1707999999999,1650.8693441049054,1308.1369150998376,1890.4438085516938,1691.4093061922417
1768.1707999999999,1568.3258768996602,1281.9741767978408,1701.3994276965245,1606.8388408826297
1718.1707999999999,1489.9095830546771,1256.334693261884,1565.94036823009,1542.8735912895986
1668.1707999999999,1415.4141039019432,1231.2079993966463,1409.346331407081,1465.7299117251187
1618.1707999999999,1344.643398706846,1206.5838394087134,1268.411698266373,1392.4434161388626
1568.1707999999999,1277.4112287715038,1182.4521626205392,1141.5705284397357,1322.8212453319195
1518.1707999999999,1213.5406673329287,1158.8031193681284,1027.413475595762,1256.6801830653235
1468.1707999999999,1152.8636339662824,1135.6270569807657,924.6721280361859,1193.8461739120573
1418.1707999999999,1095.2204522679683,1112.9145158411504,832.2049152325673,1134.1538652164545
1804.2905499999997,1518.1066994925632,1284.8018256923328,1474.8664228693074,1572.0730721153654
2025.1891499999997,1853.4543440610912,1398.326195521485,1941.7607508315946,1820.906454288699
1975.1891499999997,1760.7816268580366,1370.3596716110553,1747.584675748435,1729.8611315742642
1925.1891499999997,1672.7425455151347,1342.952478178834,1572.8262081735916,1643.368074995551
1875.1891499999997,1589.105418239378,1316.0934286152574,1478.1655291322816,1593.9149513492544
1825.1891499999997,1509.650147327409,1289.7715600429522,1402.895627391293,1553.3329531200104
1775.1891499999997,1434.1676399610385,1263.9761288420932,1262.6060646521637,1475.6663054640098
1725.1891499999997,1362.4592579629866,1238.6966062652514,1262.6060646521637,1475.6663054640098
2032.2227499999997,1780.7800287886912,1390.8251975970124,2037.931035476137,1928.7454436293244
1982.2227499999997,1691.7410273492567,1363.0086936450723,1844.9530506860633,1837.426011713989
1932.2227499999997,1607.1539759817938,1335.7485197721708,1803.3130284212114,1816.690942057518
1882.2227499999997,1526.7962771827042,1309.0335493767273,1622.9817255790902,1725.8563949546422
1832.2227499999997,1450.456463323569,1282.8528783891927,1460.683553021181,1639.56357520691
1782.2227499999997,1377.9336401573905,1257.195820821409,1314.615197719063,1557.5853964465643
1732.2227499999997,1309.036958149521,1232.0519044049806,1183.1536779471567,1479.706126624236
1883.8793499999997,1507.5610524968197,1306.7914255432145,1183.1536779471567,1479.706126624236
1833.8793499999997,1432.1829998719786,1280.6555970323502,1064.838310152441,1405.7208202930242
2127.3303499999997,1852.4585333674106,1430.9794632742464,1689.794044057529,1818.2310007288324
2077.3303499999997,1759.83560669904,1402.3598740087616,1520.814639651776,1727.3194506923908
2027.3303499999997,1671.843826364088,1374.3126765285863,1473.9110739947162,1700.6832521860372
2221.1403499999997,1995.863878351712,1480.8548924637885,1746.4616985001676,1857.9255345216295
2171.1403499999997,1896.0706844341264,1451.2377946145127,1571.8155286501508,1765.0292577955481
2121.1403499999997,1801.2671502124201,1422.2130387222226,1571.8155286501508,1765.0292577955481
2071.1403499999997,1711.203792701799,1393.768777947778,1414.6339757851356,1676.7777949057706
2021.1403499999997,1625.6436030667091,1365.8934023888226,1273.170578206622,1592.9389051604821
1971.1403499999997,1544.3614229133736,1338.575534341046,1145.8535203859597,1513.291959902458
2194.98755,1890.0624032205483,1458.430088481345,1525.0134618956924,1763.664141335604
2144.98755,1795.5592830595208,1429.261486711718,1372.5121157061233,1675.4809342688238
2094.98755,1705.7813189065448,1400.6762569774835,1235.2609041355108,1591.7068875553825
2231.48355,1938.6136458120127,1477.150939526443,1235.2609041355108,1591.7068875553825
2445.88195,2354.249309692275,1603.8304587236294,1587.2808922508746,1818.5061968205453
2641.95995,2815.865805838117,1729.6208061978741,1898.29124998009,1996.6644124102036
2591.95995,2675.072515546211,1695.0283900739166,1708.462124982081,1896.8311917896933
2541.95995,2541.3188897689006,1661.1278222724384,1565.6517218382248,1817.5531020871872
2491.95995,2414.2529452804556,1627.9052658269895,1409.0865496544025,1726.675446982828
2441.95995,2293.5402980164326,1595.3471605104498,1268.1778946889622,1640.3416746336866
2391.95995,2178.863283115611,1563.4402173002409,1141.3601052200659,1558.3245909020022
2341.95995,2069.9201189598307,1532.171412954236,1031.1127668502968,1483.0630070787356
2291.95995,1966.4241130118392,1501.5279846951514,928.0014901652671,1408.9098567247988
2595.415,2563.145440547052,1683.7864845639779,1491.2149673616182,1836.4506677427155
