feature,pearson_corr,n
total_goals,0.7433659193789961,47
total_xg,0.4307706969064121,45
h_xg,0.35764241276407893,45
total_shots,0.3526382229041965,47
h_shots_total,0.3131704397143411,47
h_shots_on,0.29692001971230786,47
a_gp,-0.27481913340901754,45
h_gp,-0.27481913340901754,45
a_shots_on,0.2615764213175227,47
h_shots_inside,0.21432201581359747,45
h_shots_off,0.1879588268400315,47
h_offsides,-0.17930372567768343,44
xg_diff,0.17094029980726141,45
a_xg,0.1648703341835257,45
fixture_id,0.1620628497890688,47
a_corners,-0.12738397689423142,47
a_shots_total,0.11253702967160088,47
h_yellow,0.108016421638013,45
a_offsides,0.10147664692117127,44
a_shots_off,0.09885586287582451,47
pass_dominance,0.09748901098854464,45
a_shots_inside,0.09235260268167635,45
a_passes_total,-0.08223077110754488,45
a_fouls,-0.08005891482582005,47
a_passes_acc,-0.06973422775290908,45
total_corners,-0.06790448061783323,47
h_passes_acc,0.0600164319502008,45
h_passes_pct,0.05459921614831597,45
h_passes_total,0.05148616098461477,45
a_saves,0.04345592830379111,47
a_possession,-0.03745724551010367,47
h_possession,0.03745724551010367,47
h_fouls,0.02907274817125464,47
a_yellow,-0.01931775313083494,45
h_corners,0.019172533540523718,47
a_passes_pct,-0.010154246803866767,45
h_saves,0.0022603072891584455,47
season,,47
