match_date,home_team,away_team,home_goals,away_goals,y,p_dc,p_lgbm,p_ensemble
2021-10-30,Altay,Sivasspor,1,1,0,,,
2021-10-30,Hatayspor,Besiktas,1,0,0,,,
2021-10-30,Konyaspor,Fenerbahce,2,1,1,,,
2021-10-31,Kayserispor,Karagumruk,2,1,1,,,
2021-10-31,Alanyaspor,Goztep,2,2,1,,,
2021-10-31,Galatasaray,Gaziantep,2,0,0,,,
2021-11-01,Buyuksehyr,Ad. Demirspor,2,1,1,,,
2021-11-01,Giresunspor,Antalyaspor,1,2,1,,,
2021-11-05,Gaziantep,Kasimpasa,2,0,0,,,
2021-11-05,Rizespor,Alanyaspor,2,0,0,,,
2021-11-06,Sivasspor,Giresunspor,0,0,0,,,
2021-11-06,Antalyaspor,Altay,1,0,0,,,
2021-11-06,Yeni Malatyaspor,Buyuksehyr,1,3,1,,,
2021-11-06,Besiktas,Trabzonspor,1,2,1,,,
2021-11-07,Goztep,Konyaspor,0,2,0,,,
2021-11-07,Ad. Demirspor,Hatayspor,1,0,0,,,
2021-11-07,Karagumruk,Galatasaray,1,1,0,,,
2021-11-07,Fenerbahce,Kayserispor,2,2,1,,,
2021-11-20,Buyuksehyr,Sivasspor,2,1,1,,,
2021-11-20,Hatayspor,Antalyaspor,3,1,1,,,
2021-11-20,Alanyaspor,Besiktas,2,0,0,,,
2021-11-20,Giresunspor,Yeni Malatyaspor,1,0,0,,,
2021-11-21,Kasimpasa,Karagumruk,1,3,1,,,
2021-11-21,Altay,Ad. Demirspor,1,3,1,,,
2021-11-21,Konyaspor,Rizespor,3,0,1,,,
2021-11-21,Galatasaray,Fenerbahce,1,2,1,,,
2021-11-22,Kayserispor,Goztep,1,1,0,,,
2021-11-22,Trabzonspor,Gaziantep,3,0,1,,,
2021-11-26,Ad. Demirspor,Kasimpasa,0,0,0,,,
2021-11-26,Buyuksehyr,Altay,0,0,0,,,
2021-11-27,Antalyaspor,Alanyaspor,3,0,1,,,
2021-11-27,Rizespor,Kayserispor,1,0,0,,,
2021-11-27,Besiktas,Giresunspor,0,4,1,,,
2021-11-28,Karagumruk,Trabzonspor,0,2,0,,,
2021-11-28,Gaziantep,Konyaspor,3,2,1,,,
2021-11-28,Yeni Malatyaspor,Galatasaray,0,0,0,,,
2021-11-28,Sivasspor,Hatayspor,4,0,1,,,
2021-11-29,Goztep,Fenerbahce,1,1,0,,,
2021-12-03,Kasimpasa,Besiktas,1,1,0,,,
2021-12-04,Alanyaspor,Sivasspor,0,1,0,,,
2021-12-04,Trabzonspor,Ad. Demirspor,2,0,0,,,
2021-12-04,Galatasaray,Altay,2,2,1,,,
2021-12-05,Kayserispor,Antalyaspor,2,0,0,,,
2021-12-05,Giresunspor,Karagumruk,3,1,1,,,
2021-12-05,Hatayspor,Buyuksehyr,0,3,1,,,
2021-12-05,Fenerbahce,Rizespor,4,0,1,,,
2021-12-06,Goztep,Gaziantep,2,1,1,,,
2021-12-06,Konyaspor,Yeni Malatyaspor,0,0,0,,,
2021-12-10,Altay,Hatayspor,1,2,1,,,
2021-12-11,Karagumruk,Konyaspor,1,4,1,,,
2021-12-11,Buyuksehyr,Kasimpasa,2,1,1,,,
2021-12-11,Rizespor,Goztep,3,1,1,,,
2021-12-11,Antalyaspor,Trabzonspor,2,1,1,,,
2021-12-12,Ad. Demirspor,Giresunspor,1,0,0,,,
2021-12-12,Yeni Malatyaspor,Alanyaspor,2,6,1,,,
2021-12-12,Besiktas,Kayserispor,4,2,1,,,
2021-12-13,Sivasspor,Galatasaray,1,0,0,,,
2021-12-13,Gaziantep,Fenerbahce,3,2,1,,,
2021-12-17,Giresunspor,Altay,3,1,1,,,
2021-12-18,Kasimpasa,Sivasspor,1,3,1,,,
2021-12-18,Konyaspor,Antalyaspor,1,0,0,,,
2021-12-18,Trabzonspor,Hatayspor,2,0,0,,,
2021-12-18,Alanyaspor,Ad. Demirspor,1,3,1,,,
2021-12-18,Galatasaray,Buyuksehyr,1,1,0,,,
2021-12-19,Rizespor,Yeni Malatyaspor,1,0,0,,,
2021-12-19,Goztep,Karagumruk,0,1,0,,,
2021-12-19,Kayserispor,Gaziantep,0,0,0,,,
2021-12-19,Fenerbahce,Besiktas,2,2,1,,,
2021-12-21,Antalyaspor,Kasimpasa,1,1,0,,,
2021-12-21,Buyuksehyr,Giresunspor,3,1,1,,,
2021-12-21,Ad. Demirspor,Galatasaray,2,0,0,,,
2021-12-21,Altay,Trabzonspor,1,2,1,,,
2021-12-22,Sivasspor,Rizespor,1,1,0,,,
2021-12-22,Hatayspor,Konyaspor,1,3,1,,,
2021-12-22,Karagumruk,Fenerbahce,1,1,0,,,
2021-12-22,Gaziantep,Alanyaspor,2,1,1,,,
2021-12-23,Yeni Malatyaspor,Kayserispor,2,2,1,,,
2021-12-23,Besiktas,Goztep,2,1,1,,,
2021-12-25,Kasimpasa,Altay,2,0,0,,,
2021-12-25,Galatasaray,Antalyaspor,2,0,0,,,
2021-12-25,Giresunspor,Hatayspor,0,1,0,,,
2021-12-25,Trabzonspor,Buyuksehyr,0,0,0,,,
2021-12-26,Rizespor,Gaziantep,0,1,0,,,
2021-12-26,Alanyaspor,Karagumruk,1,1,0,,,
2021-12-26,Goztep,Ad. Demirspor,1,1,0,,,
2021-12-26,Fenerbahce,Yeni Malatyaspor,2,0,0,,,
2021-12-27,Kayserispor,Sivasspor,3,0,1,,,
2021-12-27,Konyaspor,Besiktas,1,0,0,,,
2022-01-07,Trabzonspor,Yeni Malatyaspor,1,0,0,,,
2022-01-08,Gaziantep,Karagumruk,3,1,1,,,
2022-01-08,Alanyaspor,Buyuksehyr,1,1,0,,,
2022-01-08,Kasimpasa,Hatayspor,3,1,1,,,
2022-01-08,Galatasaray,Giresunspor,0,1,0,,,
2022-01-09,Konyaspor,Sivasspor,0,1,0,,,
2022-01-09,Goztep,Antalyaspor,4,0,1,,,
2022-01-09,Kayserispor,Altay,1,0,0,,,
2022-01-09,Rizespor,Besiktas,2,2,1,,,
2022-01-10,Fenerbahce,Ad. Demirspor,1,2,1,,,
2022-01-14,Besiktas,Gaziantep,1,0,0,,,
2022-01-14,Yeni Malatyaspor,Goztep,1,2,1,,,
2022-01-15,Karagumruk,Rizespor,2,0,0,,,
2022-01-15,Ad. Demirspor,Kayserispor,1,1,0,,,
2022-01-15,Antalyaspor,Fenerbahce,1,1,0,,,
2022-01-15,Sivasspor,Trabzonspor,1,1,0,,,
2022-01-16,Altay,Alanyaspor,0,2,0,,,
2022-01-16,Giresunspor,Kasimpasa,0,2,0,,,
2022-01-16,Hatayspor,Galatasaray,4,2,1,,,
2022-01-18,Karagumruk,Besiktas,0,1,0,,,
2022-01-18,Konyaspor,Ad. Demirspor,1,0,0,,,
2022-01-19,Goztep,Sivasspor,2,1,1,,,
2022-01-19,Kayserispor,Buyuksehyr,1,0,0,,,
2022-01-19,Fenerbahce,Altay,2,1,1,,,
2022-01-19,Trabzonspor,Giresunspor,1,1,0,,,
2022-01-20,Alanyaspor,Hatayspor,6,0,1,,,
2022-01-20,Rizespor,Antalyaspor,2,1,1,,,
2022-01-20,Galatasaray,Kasimpasa,1,3,1,,,
2022-01-22,Ad. Demirspor,Karagumruk,5,0,1,,,
2022-01-22,Yeni Malatyaspor,Besiktas,1,1,0,,,
2022-01-22,Buyuksehyr,Goztep,1,2,1,,,
2022-01-22,Sivasspor,Fenerbahce,1,1,0,,,
2022-01-23,Hatayspor,Rizespor,0,0,0,,,
2022-01-23,Kasimpasa,Kayserispor,3,1,1,,,
2022-01-23,Altay,Konyaspor,0,1,0,,,
2022-01-23,Antalyaspor,Gaziantep,0,0,0,,,
2022-01-23,Giresunspor,Alanyaspor,1,3,1,,,
2022-01-23,Galatasaray,Trabzonspor,1,2,1,,,
2022-02-04,Kayserispor,Hatayspor,4,3,1,,,
2022-02-04,Konyaspor,Giresunspor,1,0,0,,,
2022-02-05,Gaziantep,Sivasspor,5,1,1,,,
2022-02-05,Karagumruk,Yeni Malatyaspor,1,0,0,,,
2022-02-05,Trabzonspor,Kasimpasa,1,0,0,,,
2022-02-05,Fenerbahce,Buyuksehyr,0,1,0,,,
2022-02-06,Alanyaspor,Galatasaray,1,1,0,,,
2022-02-06,Rizespor,Ad. Demirspor,1,3,1,,,
2022-02-06,Besiktas,Antalyaspor,0,0,0,,,
2022-02-06,Goztep,Altay,0,2,0,,,
2022-02-11,Altay,Rizespor,0,0,0,,,
2022-02-12,Buyuksehyr,Gaziantep,2,0,0,,,
2022-02-12,Giresunspor,Fenerbahce,1,2,1,,,
2022-02-12,Galatasaray,Kayserispor,1,1,0,,,
2022-02-13,Kasimpasa,Alanyaspor,2,2,1,,,
2022-02-13,Trabzonspor,Konyaspor,2,1,1,,,
2022-02-13,Sivasspor,Yeni Malatyaspor,2,1,1,,,
2022-02-13,Antalyaspor,Karagumruk,3,0,1,,,
2022-02-14,Ad. Demirspor,Besiktas,1,1,0,,,
2022-02-14,Hatayspor,Goztep,2,1,1,,,
2022-02-18,Konyaspor,Kasimpasa,4,4,1,,,
2022-02-18,Rizespor,Buyuksehyr,0,2,0,,,
2022-02-19,Yeni Malatyaspor,Antalyaspor,1,2,1,,,
2022-02-19,Kayserispor,Giresunspor,2,1,1,,,
2022-02-19,Besiktas,Altay,1,0,0,,,
2022-02-20,Gaziantep,Ad. Demirspor,0,3,1,,,
2022-02-20,Alanyaspor,Trabzonspor,0,4,1,,,
2022-02-20,Karagumruk,Sivasspor,1,0,0,,,
2022-02-20,Fenerbahce,Hatayspor,2,0,0,,,
2022-02-21,Goztep,Galatasaray,2,3,1,,,
2022-02-22,Buyuksehyr,Konyaspor,2,1,1,,,
2022-02-23,Gaziantep,Yeni Malatyaspor,0,0,0,,,
2022-02-25,Ad. Demirspor,Antalyaspor,0,0,0,,,
2022-02-25,Trabzonspor,Kayserispor,3,2,1,,,
2022-02-26,Buyuksehyr,Karagumruk,1,2,1,,,
2022-02-26,Sivasspor,Besiktas,2,3,1,,,
2022-02-27,Altay,Gaziantep,3,2,1,,,
2022-02-27,Giresunspor,Goztep,3,1,1,,,
2022-02-27,Alanyaspor,Konyaspor,5,1,1,,,
2022-02-27,Hatayspor,Yeni Malatyaspor,5,2,1,,,
2022-02-27,Galatasaray,Rizespor,4,2,1,,,
2022-02-28,Kasimpasa,Fenerbahce,1,2,1,,,
2022-03-04,Yeni Malatyaspor,Ad. Demirspor,1,0,0,,,
2022-03-05,Konyaspor,Galatasaray,2,0,0,,,
2022-03-05,Goztep,Kasimpasa,2,3,1,,,
2022-03-05,Rizespor,Giresunspor,1,2,1,,,
2022-03-06,Karagumruk,Altay,0,0,0,,,
2022-03-06,Antalyaspor,Sivasspor,1,0,0,,,
2022-03-06,Fenerbahce,Trabzonspor,1,1,0,,,
2022-03-07,Besiktas,Buyuksehyr,2,2,1,,,
2022-03-07,Gaziantep,Hatayspor,2,2,1,,,
2022-03-07,Kayserispor,Alanyaspor,1,2,1,,,
2022-03-12,Hatayspor,Karagumruk,3,0,1,,,
2022-03-12,Altay,Yeni Malatyaspor,1,0,0,,,
2022-03-12,Kasimpasa,Rizespor,3,1,1,,,
2022-03-12,Trabzonspor,Goztep,4,2,1,,,
2022-03-13,Alanyaspor,Fenerbahce,2,5,1,,,
2022-03-13,Kayserispor,Konyaspor,2,3,1,,,
2022-03-13,Ad. Demirspor,Sivasspor,2,3,1,,,
2022-03-14,Buyuksehyr,Antalyaspor,0,1,0,,,
2022-03-14,Galatasaray,Besiktas,2,1,1,,,
2022-03-14,Giresunspor,Gaziantep,2,1,1,,,
2022-03-18,Karagumruk,Kayserispor,3,0,1,,,
2022-03-18,Rizespor,Trabzonspor,3,2,1,,,
2022-03-19,Yeni Malatyaspor,Kasimpasa,0,2,0,,,
2022-03-19,Ad. Demirspor,Buyuksehyr,2,1,1,,,
2022-03-19,Goztep,Alanyaspor,0,2,0,,,
2022-03-19,Besiktas,Hatayspor,1,1,0,,,
2022-03-20,Antalyaspor,Giresunspor,4,1,1,,,
2022-03-20,Sivasspor,Altay,2,1,1,,,
2022-03-20,Gaziantep,Galatasaray,3,1,1,,,
2022-03-20,Fenerbahce,Konyaspor,2,1,1,,,
2022-04-02,Giresunspor,Sivasspor,2,2,1,,,
2022-04-02,Altay,Antalyaspor,1,2,1,,,
2022-04-02,Kayserispor,Fenerbahce,0,4,1,,,
2022-04-02,Galatasaray,Karagumruk,2,0,0,,,
2022-04-03,Kasimpasa,Gaziantep,2,1,1,,,
2022-04-03,Alanyaspor,Rizespor,2,1,1,,,
2022-04-03,Konyaspor,Goztep,3,0,1,,,
2022-04-03,Trabzonspor,Besiktas,1,1,0,,,
2022-04-04,Buyuksehyr,Yeni Malatyaspor,1,0,0,,,
2022-04-04,Hatayspor,Ad. Demirspor,0,0,0,,,
2022-04-09,Rizespor,Konyaspor,2,1,1,,,
2022-04-09,Goztep,Kayserispor,1,2,1,,,
2022-04-09,Gaziantep,Trabzonspor,0,0,0,,,
2022-04-09,Besiktas,Alanyaspor,4,1,1,,,
2022-04-09,Karagumruk,Kasimpasa,3,2,1,,,
2022-04-10,Yeni Malatyaspor,Giresunspor,0,1,0,,,
2022-04-10,Ad. Demirspor,Altay,3,1,1,,,
2022-04-10,Sivasspor,Buyuksehyr,0,2,0,,,
2022-04-10,Fenerbahce,Galatasaray,2,0,0,,,
2022-04-11,Antalyaspor,Hatayspor,4,1,1,,,
2022-04-15,Kayserispor,Rizespor,1,1,0,,,
2022-04-15,Trabzonspor,Karagumruk,1,1,0,,,
2022-04-16,Hatayspor,Sivasspor,1,1,0,,,
2022-04-16,Alanyaspor,Antalyaspor,1,3,1,,,
2022-04-16,Altay,Buyuksehyr,1,1,0,,,
2022-04-16,Fenerbahce,Goztep,2,0,0,,,
2022-04-17,Konyaspor,Gaziantep,4,1,1,,,
2022-04-17,Kasimpasa,Ad. Demirspor,4,0,1,,,
