strategy,matchday,leg_no,league,season,match,dir,odd,won,result,combo_odd,all_won,pnl
A) ALL leagues (E0+D1+T1),2021-08-14,1,E0,2122,Norwich vs Liverpool,A,1.48,True,A,6.87238,True,5.87238
A) ALL leagues (E0+D1+T1),2021-08-14,2,D1,2122,Stuttgart vs Greuther Furth,H,1.85,True,H,6.87238,True,5.87238
A) ALL leagues (E0+D1+T1),2021-08-14,3,E0,2122,Burnley vs Brighton,A,2.51,True,A,6.87238,True,5.87238
A) ALL leagues (E0+D1+T1),2021-08-21,1,D1,2122,Leverkusen vs M'gladbach,H,2.23,True,H,8.573904,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-21,2,E0,2122,Brighton vs Watford,H,1.78,True,H,8.573904,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-21,3,T1,2122,Alanyaspor vs Altay,H,2.16,False,A,8.573904,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-22,1,T1,2122,Goztep vs Yeni Malatyaspor,H,1.79,False,A,4.928049000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-22,2,E0,2122,Southampton vs Man United,A,1.61,False,D,4.928049000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-22,3,T1,2122,Fenerbahce vs Antalyaspor,H,1.71,True,H,4.928049000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-28,1,D1,2122,Mainz vs Greuther Furth,H,1.57,True,H,8.433098,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-28,2,D1,2122,Stuttgart vs Freiburg,H,2.14,False,A,8.433098,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-28,3,E0,2122,Newcastle vs Southampton,H,2.51,False,D,8.433098,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-29,1,T1,2122,Kasimpasa vs Galatasaray,A,1.83,False,D,10.575936,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-29,2,T1,2122,Altay vs Fenerbahce,A,2.58,True,A,10.575936,False,-1.0
A) ALL leagues (E0+D1+T1),2021-08-29,3,E0,2122,Burnley vs Leeds,A,2.24,False,D,10.575936,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-11,1,D1,2122,Union Berlin vs Augsburg,H,1.68,False,D,3.5481599999999998,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-11,2,D1,2122,Greuther Furth vs Wolfsburg,A,1.76,True,A,3.5481599999999998,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-11,3,E0,2122,Man United vs Newcastle,H,1.2,True,H,3.5481599999999998,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-12,1,T1,2122,Fenerbahce vs Sivasspor,H,1.56,False,D,6.007871999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-12,2,E0,2122,Leeds vs Liverpool,A,1.66,True,A,6.007871999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-12,3,T1,2122,Trabzonspor vs Galatasaray,H,2.32,False,D,6.007871999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-13,1,E0,2122,Everton vs Burnley,H,1.78,True,H,8.122139999999998,True,7.122139999999998
A) ALL leagues (E0+D1+T1),2021-09-13,2,T1,2122,Gaziantep vs Antalyaspor,H,2.34,True,H,8.122139999999998,True,7.122139999999998
A) ALL leagues (E0+D1+T1),2021-09-13,3,T1,2122,Alanyaspor vs Giresunspor,H,1.95,True,H,8.122139999999998,True,7.122139999999998
A) ALL leagues (E0+D1+T1),2021-09-18,1,E0,2122,Man City vs Southampton,H,1.18,False,D,6.16491,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-18,2,T1,2122,Antalyaspor vs Besiktas,A,2.43,True,A,6.16491,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-18,3,D1,2122,Augsburg vs M'gladbach,A,2.15,False,H,6.16491,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-19,1,D1,2122,Wolfsburg vs Ein Frankfurt,H,1.85,False,D,6.76027,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-19,2,T1,2122,Buyuksehyr vs Fenerbahce,A,2.42,False,H,6.76027,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-19,3,T1,2122,Galatasaray vs Alanyaspor,H,1.51,False,A,6.76027,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-21,1,T1,2122,Besiktas vs Ad. Demirspor,H,1.4,False,D,5.780880000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-21,2,T1,2122,Karagumruk vs Antalyaspor,H,1.86,False,D,5.780880000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-21,3,T1,2122,Rizespor vs Altay,A,2.22,True,A,5.780880000000001,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-22,1,T1,2122,Kayserispor vs Galatasaray,A,1.87,False,H,12.190529999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-22,2,T1,2122,Goztep vs Hatayspor,H,2.46,False,A,12.190529999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-22,3,T1,2122,Gaziantep vs Buyuksehyr,A,2.65,False,H,12.190529999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-23,1,T1,2122,Fenerbahce vs Giresunspor,H,1.42,True,H,5.995807999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-23,2,T1,2122,Alanyaspor vs Kasimpasa,H,1.82,True,H,5.995807999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-23,3,T1,2122,Konyaspor vs Trabzonspor,A,2.32,False,D,5.995807999999999,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-25,1,E0,2122,Everton vs Norwich,H,1.7,True,H,5.21424,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-25,2,D1,2122,M'gladbach vs Dortmund,A,2.16,False,H,5.21424,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-25,3,E0,2122,Man United vs Aston Villa,H,1.42,False,A,5.21424,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-26,1,D1,2122,Bochum vs Stuttgart,A,2.28,False,D,5.762016,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-26,2,T1,2122,Buyuksehyr vs Rizespor,H,1.62,True,H,5.762016,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-26,3,T1,2122,Galatasaray vs Goztep,H,1.56,True,H,5.762016,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-27,1,T1,2122,Trabzonspor vs Alanyaspor,H,1.78,False,D,13.412300000000002,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-27,2,T1,2122,Kasimpasa vs Konyaspor,H,2.75,False,D,13.412300000000002,False,-1.0
A) ALL leagues (E0+D1+T1),2021-09-27,3,E0,2122,Crystal Palace vs Brighton,A,2.74,False,D,13.412300000000002,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-02,1,E0,2122,Chelsea vs Southampton,H,1.46,True,H,6.4924740000000005,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-02,2,E0,2122,Wolves vs Newcastle,H,1.83,True,H,6.4924740000000005,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-02,3,T1,2122,Goztep vs Giresunspor,H,2.43,False,A,6.4924740000000005,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-03,1,T1,2122,Fenerbahce vs Kasimpasa,H,1.68,True,H,7.7397599999999995,True,6.7397599999999995
A) ALL leagues (E0+D1+T1),2021-10-03,2,D1,2122,Bielefeld vs Leverkusen,A,1.7,True,A,7.7397599999999995,True,6.7397599999999995
A) ALL leagues (E0+D1+T1),2021-10-03,3,T1,2122,Gaziantep vs Altay,H,2.71,True,H,7.7397599999999995,True,6.7397599999999995
A) ALL leagues (E0+D1+T1),2021-10-16,1,D1,2122,Ein Frankfurt vs Hertha,H,1.77,False,A,4.820418,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-16,2,D1,2122,M'gladbach vs Stuttgart,H,1.53,False,D,4.820418,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-16,3,T1,2122,Giresunspor vs Rizespor,H,1.78,True,H,4.820418,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-23,1,E0,2122,Everton vs Watford,H,1.84,False,A,4.07836,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-23,2,D1,2122,Bielefeld vs Dortmund,A,1.55,True,A,4.07836,False,-1.0
A) ALL leagues (E0+D1+T1),2021-10-23,3,E0,2122,Brighton vs Man City,A,1.43,True,A,4.07836,False,-1.0
