match_date,home,away,score,selection,model_prob,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
2023-08-12,Kasimpasa,Ankaragucu,3-2,Under 2.5,0.4858054030108996,2.3,2.09,11.735242692506898,225.67774408667114,False,-225.67774408667114,9774.322255913328,10.047846889952151
2023-08-13,Ad. Demirspor,Rizespor,2-1,Over 2.5,0.721127191038213,1.53,1.45,10.332460228846596,476.38111308091766,True,252.48198993288634,10026.804245846215,5.517241379310356
2023-08-18,Istanbulspor,Kayserispor,1-1,Over 2.5,0.6133798408617519,1.7,1.69,4.274572946497823,153.0725220325848,False,-153.0725220325848,9873.731723813631,0.591715976331364
2023-08-18,Antalyaspor,Konyaspor,1-1,Under 2.5,0.5682454573799336,2.0,1.93,13.649091475986719,336.9186687692107,True,336.9186687692107,10210.650392582842,3.62694300518136
2023-08-19,Rizespor,Alanyaspor,0-0,Over 2.5,0.6706957055352316,1.67,1.69,12.006182824383682,457.42886331796484,False,-457.42886331796484,9753.221529264878,-1.183431952662728
2023-08-19,Galatasaray,Trabzonspor,2-0,Under 2.5,0.4273613375153269,2.5,2.53,6.840334378831736,111.19216088498712,True,166.78824132748065,9920.009770592358,-1.1857707509881354
2023-08-20,Buyuksehyr,Karagumruk,0-2,Under 2.5,0.4747816004710248,2.2,1.91,4.451952103625456,92.00710076286215,True,110.40852091543461,10030.418291507793,15.18324607329844
2023-08-20,Besiktas,Pendikspor,1-1,Over 2.5,0.9997061301814334,1.44,1.43,43.957682746126416,501.52091457538967,False,-501.52091457538967,9528.897376932404,0.6993006993007089
2023-08-20,Gaziantep,Sivasspor,1-3,Under 2.5,0.5452915848566615,2.1,1.88,14.511232819898922,314.26374625815964,False,-314.26374625815964,9214.633630674245,11.70212765957448
2023-08-21,Ankaragucu,Ad. Demirspor,1-1,Under 2.5,0.4417338366737694,2.7,2.15,19.26813590191776,261.1011957091369,True,443.87203270553283,9658.505663379778,25.581395348837233
2023-08-21,Samsunspor,Fenerbahce,0-2,Under 2.5,0.5929297950280097,2.4,2.06,42.303150806722314,482.9252831689889,True,676.0953964365845,10334.601059816363,16.50485436893203
2023-08-26,Kasimpasa,Pendikspor,1-1,Over 2.5,0.809758159322742,1.6,1.8,29.561305491638734,516.7300529908182,False,-516.7300529908182,9817.871006825544,-11.111111111111105
2023-08-27,Kayserispor,Samsunspor,2-1,Under 2.5,0.6883155005810584,2.0,1.92,37.66310011621168,490.8935503412772,False,-490.8935503412772,9326.977456484266,4.166666666666674
2023-08-27,Alanyaspor,Hatayspor,0-0,Over 2.5,0.6524299592342099,1.7,1.92,10.913093069815671,363.5220465810197,False,-363.5220465810197,8963.455409903247,-11.458333333333337
2023-09-01,Kasimpasa,Trabzonspor,1-5,Over 2.5,0.6358736130833884,1.75,1.92,11.277882289592966,336.9626500696805,True,252.72198755226037,9216.177397455507,-8.854166666666663
2023-09-01,Rizespor,Karagumruk,1-0,Over 2.5,0.6461248603183656,1.73,2.04,11.779600835077254,371.79072249070856,False,-371.79072249070856,8844.386674964799,-15.19607843137255
2023-09-02,Buyuksehyr,Konyaspor,0-1,Under 2.5,0.6283400806257603,1.83,1.83,14.98623475451415,399.229081237106,True,331.360137426798,9175.746812391597,0.0
2023-09-02,Pendikspor,Alanyaspor,1-1,Over 2.5,0.658989901813264,1.7,1.78,12.028283308254872,394.1731508009384,False,-394.1731508009384,8781.573661590659,-4.49438202247191
2023-09-02,Gaziantep,Galatasaray,0-3,Under 2.5,0.44644638419183147,2.5,2.55,11.611596047957873,169.94681003962822,False,-169.94681003962822,8611.626851551031,-1.9607843137254832
2023-09-16,Ad. Demirspor,Pendikspor,3-0,Over 2.5,0.7038282871457738,1.48,1.48,4.1665864975745315,186.88066750949352,True,89.70272040455691,8701.329571955588,0.0
2023-09-16,Galatasaray,Samsunspor,4-2,Under 2.5,0.5281484477531941,2.7,2.6,42.600080893362424,435.06647859777945,False,-435.06647859777945,8266.26309335781,3.8461538461538547
2023-09-17,Istanbulspor,Buyuksehyr,0-2,Under 2.5,0.570066408140018,1.93,1.88,10.022816771023457,222.71838808010483,True,207.12810091449745,8473.391194272306,2.659574468085113
2023-09-17,Alanyaspor,Kasimpasa,3-3,Over 2.5,0.6703794447072591,1.7,1.88,13.964505600234034,422.59542423353366,True,295.8167969634735,8769.20799123578,-9.57446808510638
2023-09-18,Karagumruk,Hatayspor,0-0,Over 2.5,0.668424007445796,1.85,1.89,23.65844137747226,438.460399561789,False,-438.460399561789,8330.747591673991,-2.116402116402105
2023-09-18,Sivasspor,Ankaragucu,1-3,Under 2.5,0.5650011367339471,1.88,1.84,6.220213705982047,147.2131544057034,False,-147.2131544057034,8183.534437268288,2.1739130434782483
2023-09-22,Gaziantep,Istanbulspor,2-0,Under 2.5,0.5008051985957764,2.08,2.18,4.167481307921506,78.94612685196186,True,85.26181700011882,8268.796254268407,-4.587155963302758
2023-09-23,Buyuksehyr,Galatasaray,1-2,Under 2.5,0.6119565883214901,2.08,2.06,27.286970370869955,413.4398127134204,False,-413.4398127134204,7855.356441554987,0.9708737864077666
2023-09-24,Kasimpasa,Ad. Demirspor,2-1,Over 2.5,0.6964027498462388,1.5,1.5,4.460412476935827,175.19064941345042,True,87.59532470672522,7942.951766261713,0.0
2023-09-24,Alanyaspor,Fenerbahce,0-1,Over 2.5,0.7043436775878207,1.57,1.6,10.581957381287843,368.6490222465198,False,-368.6490222465198,7574.302744015193,-1.8750000000000044
2023-09-24,Ankaragucu,Konyaspor,1-1,Under 2.5,0.5884083248090191,1.98,1.96,16.50484831218577,318.90999454220207,True,312.53179465135804,7886.8345386665505,1.0204081632652962
2023-09-25,Hatayspor,Trabzonspor,3-2,Over 2.5,0.6186883430720934,1.73,1.9,7.033083351472169,189.96152290997026,True,138.6719117242783,8025.506450390829,-8.947368421052627
2023-09-26,Istanbulspor,Galatasaray,0-1,Under 2.5,0.43736501014599727,2.88,2.89,25.96112292204722,277.06271206154133,True,520.8778986756977,8546.384349066526,-0.34602076124568004
2023-09-28,Fenerbahce,Buyuksehyr,4-0,Under 2.5,0.5171492265772597,2.35,2.41,21.530068245656043,340.7485894240905,False,-340.7485894240905,8205.635759642435,-2.4896265560165998
